0,1,1,0,0.50,0.50,0.67,0.11,0.33,0.00,0.00,0.44,0.44,3,1
1,0,0,1,0.50,0.50,0.21,0.07,0.07,0.07,0.00,0.71,0.29,3,0
1,1,0,1,0.50,0.50,0.25,0.04,0.00,0.00,0.04,0.68,0.36,3,0
1,1,1,1,0.33,0.67,0.14,0.14,0.14,0.00,0.00,0.57,0.43,1,1
1,0,1,0,0.50,0.50,0.22,0.22,0.11,0.22,0.11,0.11,0.00,3,1
1,1,1,0,0.50,0.50,0.27,0.09,0.09,0.09,0.22,0.36,0.27,5,1
1,0,1,0,0.50,0.50,0.56,0.06,0.25,0.00,0.06,0.06,0.38,6,0
1,1,1,1,0.33,0.67,0.10,0.05,0.10,0.00,0.05,0.67,0.48,3,1
1,1,1,0,0.50,0.50,0.20,0.10,0.30,0.10,0.10,0.30,0.20,3,1
1,1,1,0,0.50,0.50,0.20,0.10,0.30,0.10,0.10,0.30,0.10,2,1
1,0,0,0,0.50,0.50,0.45,0.09,0.00,0.27,0.18,0.09,0.18,2,1
1,0,0,0,0.50,0.50,0.20,0.20,0.00,0.20,0.00,0.40,0.20,3,1
1,0,1,1,0.33,0.67,0.18,0.09,0.09,0.55,0.00,0.09,0.00,2,1
1,0,0,0,0.50,0.50,0.07,0.14,0.00,0.00,0.07,0.71,0.14,2,1
1,0,1,0,0.50,0.50,0.08,0.38,0.08,0.00,0.08,0.38,0.38,7,1
1,0,1,1,0.25,0.75,0.64,0.09,0.09,0.00,0.09,0.09,0.45,7,0
1,0,1,0,0.50,0.50,0.17,0.17,0.17,0.00,0.00,0.50,0.33,2,1
1,0,1,0,0.50,0.50,0.35,0.05,0.10,0.35,0.30,0.10,0.00,8,1
1,0,1,1,0.25,0.75,0.64,0.09,0.09,0.00,0.00,0.18,0.09,3,0
1,0,1,1,0.33,0.67,0.31,0.25,0.06,0.00,0.06,0.31,0.25,6,1
1,1,1,0,0.33,0.67,0.19,0.06,0.06,0.06,0.00,0.63,0.50,4,1
1,0,0,0,0.50,0.50,0.54,0.08,0.00,0.08,0.08,0.23,0.31,4,0
1,0,0,1,0.50,0.50,0.12,0.06,0.00,0.47,0.00,0.35,0.41,13,1
1,0,1,0,0.50,0.50,0.17,0.17,0.17,0.00,0.17,0.33,0.17,2,1
1,0,1,0,0.50,0.50,0.00,0.08,0.23,0.00,0.00,0.69,0.31,1,0
1,1,1,1,0.33,0.67,0.17,0.08,0.00,0.08,0.00,0.54,0.33,2,1
1,1,1,1,0.50,0.50,0.27,0.09,0.18,0.09,0.00,0.36,0.45,4,1
1,0,1,0,0.50,0.50,0.38,0.04,0.31,0.08,0.08,0.12,0.27,7,1
0,1,0,1,0.67,0.33,0.09,0.09,0.00,0.09,0.00,0.73,0.36,3,1
1,0,1,0,0.50,0.50,0.33,0.11,0.11,0.00,0.11,0.33,0.00,5,0
1,0,1,1,0.33,0.67,0.33,0.17,0.17,0.00,0.17,0.17,0.00,3,1
1,1,0,1,0.50,0.50,0.10,0.05,0.00,0.00,0.10,0.50,0.30,5,1
1,1,1,0,0.50,0.50,0.20,0.10,0.10,0.10,0.10,0.40,0.40,2,1
1,1,1,1,0.33,0.67,0.20,0.10,0.30,0.00,0.00,0.30,0.30,4,0
1,0,1,0,0.50,0.50,0.14,0.14,0.14,0.14,0.14,0.29,0.14,3,1
1,0,1,1,0.50,0.50,0.15,0.15,0.31,0.00,0.08,0.23,0.46,5,1
1,0,0,0,0.50,0.50,0.08,0.08,0.38,0.00,0.08,0.31,0.38,4,1
1,0,1,1,0.33,0.67,0.15,0.30,0.05,0.00,0.05,0.45,0.40,10,0
1,0,1,0,0.50,0.50,0.17,0.17,0.00,0.17,0.17,0.33,0.00,4,1
1,0,1,1,0.33,0.67,0.10,0.10,0.30,0.30,0.10,0.10,0.00,4,1
1,1,0,0,1.00,0.00,0.10,0.20,0.00,0.00,0.00,0.70,0.50,2,1
1,0,1,1,0.50,0.50,0.14,0.07,0.29,0.00,0.07,0.43,0.43,5,1
1,1,1,1,0.33,0.67,0.08,0.08,0.23,0.15,0.08,0.38,0.38,5,1
1,1,1,1,0.50,0.50,0.00,0.09,0.27,0.18,0.00,0.45,0.55,3,1
1,0,1,1,0.33,0.67,0.20,0.20,0.20,0.00,0.20,0.20,0.00,2,1
1,0,1,1,0.33,0.67,0.27,0.27,0.09,0.18,0.09,0.09,0.00,5,1
1,1,1,0,0.50,0.50,0.47,0.07,0.27,0.00,0.07,0.13,0.33,5,0
1,1,1,0,0.50,0.50,0.62,0.05,0.19,0.00,0.05,0.10,0.19,5,0
1,1,1,0,0.50,0.50,0.13,0.13,0.13,0.00,0.13,0.38,0.25,3,1
1,1,0,0,0.50,0.50,0.14,0.14,0.00,0.00,0.00,0.71,0.14,3,1
1,0,0,0,1.00,0.00,0.40,0.30,0.00,0.00,0.10,0.20,0.30,5,1
1,1,1,0,0.50,0.50,0.10,0.10,0.10,0.20,0.10,0.40,0.00,2,1
1,0,1,0,0.50,0.50,0.05,0.11,0.21,0.37,0.00,0.26,0.53,13,0
1,0,0,0,1.00,0.00,0.13,0.13,0.00,0.00,0.00,0.75,0.50,3,1
1,1,1,1,0.33,0.67,0.07,0.07,0.00,0.00,0.00,0.86,0.50,3,0
1,1,0,0,0.33,0.67,0.08,0.08,0.00,0.00,0.00,0.83,0.25,2,1
1,0,1,0,0.50,0.50,0.08,0.08,0.33,0.00,0.08,0.42,0.00,3,1
1,0,0,0,0.50,0.50,0.05,0.23,0.00,0.00,0.00,0.73,0.41,6,1
1,0,0,0,0.50,0.50,0.04,0.22,0.00,0.00,0.00,0.74,0.39,6,1
1,1,1,0,0.50,0.50,0.29,0.12,0.06,0.18,0.12,0.41,0.35,8,0
1,0,0,0,1.00,0.00,0.43,0.14,0.00,0.00,0.00,0.43,0.29,4,1
1,1,1,1,0.33,0.67,0.33,0.08,0.00,0.00,0.00,0.50,0.33,3,0
1,1,1,0,0.50,0.50,0.14,0.08,0.17,0.29,0.14,0.29,0.07,5,1
1,0,1,0,0.50,0.50,0.22,0.11,0.11,0.11,0.22,0.33,0.33,5,1
1,1,1,1,0.50,0.50,0.00,0.07,0.21,0.07,0.00,0.64,0.36,5,1
1,1,1,1,0.67,0.33,0.20,0.07,0.07,0.00,0.00,0.67,0.13,3,1
1,0,1,1,0.50,0.50,0.06,0.06,0.06,0.18,0.18,0.47,0.35,21,1
1,0,0,0,1.00,0.00,0.40,0.20,0.00,0.00,0.00,0.40,0.00,3,1
1,0,1,0,0.50,0.50,0.00,0.08,0.42,0.17,0.00,0.42,0.42,4,0
1,0,1,0,0.33,0.67,0.18,0.06,0.00,0.18,0.06,0.53,0.41,4,1
1,1,0,1,0.33,0.67,0.43,0.14,0.14,0.00,0.00,0.29,0.43,3,1
1,0,1,1,0.50,0.50,0.11,0.11,0.33,0.11,0.00,0.33,0.33,4,1
1,0,0,1,0.50,0.50,0.42,0.33,0.00,0.00,0.08,0.17,0.33,7,1
1,0,1,0,0.50,0.50,0.63,0.13,0.00,0.00,0.13,0.13,0.00,4,1
1,0,0,0,0.50,0.50,0.71,0.07,0.00,0.07,0.14,0.07,0.36,6,0
1,0,0,1,0.25,0.75,0.20,0.24,0.00,0.00,0.04,0.56,0.36,5,1
1,0,1,0,0.50,0.50,0.33,0.17,0.17,0.00,0.17,0.17,0.00,2,1
1,1,1,1,0.50,0.50,0.10,0.10,0.30,0.10,0.00,0.40,0.50,9,1
1,0,1,1,0.50,0.50,0.00,0.14,0.14,0.29,0.00,0.43,0.29,2,1
1,1,1,0,0.33,0.67,0.13,0.06,0.06,0.00,0.06,0.65,0.50,4,1
1,1,1,0,0.50,0.50,0.20,0.20,0.30,0.10,0.10,0.20,0.20,4,1
1,0,1,0,0.50,0.50,0.33,0.17,0.00,0.00,0.00,0.50,0.33,1,1
