aliens,5
angelsdemons,0
assemblyline,0
avoidgeorge,2
bait,6
blacksmoke,2
boloadventures,0
bomber,2
boulderchase,2
boulderdash,2
brainman,1
butterflies,1
cakybaky,3
camelRace,1
catapults,6
chainreaction,0
chase,6
chipschallenge,6
clusters,0
colourescape,3
chopper,2
cookmepasta,0
cops,1
crossfire,6
defem,0
defender,2
digdug,2
dungeon,6
eggomania,5
enemycitadel,0
escape,3
factorymanager,1
firecaster,2
fireman,0
firestorms,6
freeway,3
frogs,1
gymkhana,0
hungrybirds,6
iceandfire,3
infection,4
intersection,3
islands,2
jaws,2
labyrinth,3
labyrinthdual,3
lasers,0
lasers2,0
lemmings,2
missilecommand,1
modality,4
overload,2
pacman,0
painter,4
plants,0
plaqueattack,1
portals,6
racebet,1
raceBet2,1
realportals,0
realsokoban,4
rivers,0
roguelike,2
run,6
seaquest,2
sheriff,2
shipwreck,3
sokoban,4
solarfox,0
superman,6
surround,1
survivezombies,3
tercio,1
thecitadel,6
thesnowman,0
waitforbreakfast,1
watergame,6
waves,2
whackamole,3
witnessprotection,2
zelda,2
zenpuzzle,6
