0,1,1,0,0.5,0.5,0.67,0.11,0.33,0,0,0.44,0.44,3
1,1,1,1,0.33,0.67,0.14,0.14,0.14,0,0,0.57,0.43,1
1,0,1,0,0.5,0.5,0.22,0.22,0.11,0.22,0.11,0.11,0,3
1,1,1,0,0.5,0.5,0.27,0.09,0.09,0.09,0.22,0.36,0.27,5
1,1,1,1,0.33,0.67,0.1,0.05,0.1,0,0.05,0.67,0.48,3
1,1,1,0,0.5,0.5,0.2,0.1,0.3,0.1,0.1,0.3,0.2,3
1,1,1,0,0.5,0.5,0.2,0.1,0.3,0.1,0.1,0.3,0.1,2
1,0,0,0,0.5,0.5,0.45,0.09,0,0.27,0.18,0.09,0.18,2
1,0,0,0,0.5,0.5,0.2,0.2,0,0.2,0,0.4,0.2,3
1,0,1,1,0.33,0.67,0.18,0.09,0.09,0.55,0,0.09,0,2
1,0,0,0,0.5,0.5,0.07,0.14,0,0,0.07,0.71,0.14,2
1,0,1,0,0.5,0.5,0.08,0.38,0.08,0,0.08,0.38,0.38,7
1,0,1,0,0.5,0.5,0.17,0.17,0.17,0,0,0.5,0.33,2
1,0,1,0,0.5,0.5,0.35,0.05,0.1,0.35,0.3,0.1,0,8
1,0,1,1,0.33,0.67,0.31,0.25,0.06,0,0.06,0.31,0.25,6
1,1,1,0,0.33,0.67,0.19,0.06,0.06,0.06,0,0.63,0.5,4
1,0,0,1,0.5,0.5,0.12,0.06,0,0.47,0,0.35,0.41,13
1,0,1,0,0.5,0.5,0.17,0.17,0.17,0,0.17,0.33,0.17,2
1,1,1,1,0.33,0.67,0.17,0.08,0,0.08,0,0.54,0.33,2
1,1,1,1,0.5,0.5,0.27,0.09,0.18,0.09,0,0.36,0.45,4
1,0,1,0,0.5,0.5,0.38,0.04,0.31,0.08,0.08,0.12,0.27,7
0,1,0,1,0.67,0.33,0.09,0.09,0,0.09,0,0.73,0.36,3
1,0,1,1,0.33,0.67,0.33,0.17,0.17,0,0.17,0.17,0,3
1,1,0,1,0.5,0.5,0.1,0.05,0,0,0.1,0.5,0.3,5
1,1,1,0,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.4,0.4,2
1,0,1,0,0.5,0.5,0.14,0.14,0.14,0.14,0.14,0.29,0.14,3
1,0,1,1,0.5,0.5,0.15,0.15,0.31,0,0.08,0.23,0.46,5
1,0,0,0,0.5,0.5,0.08,0.08,0.38,0,0.08,0.31,0.38,4
1,0,1,0,0.5,0.5,0.17,0.17,0,0.17,0.17,0.33,0,4
1,0,1,1,0.33,0.67,0.1,0.1,0.3,0.3,0.1,0.1,0,4
1,1,0,0,1,0,0.1,0.2,0,0,0,0.7,0.5,2
1,0,1,1,0.5,0.5,0.14,0.07,0.29,0,0.07,0.43,0.43,5
1,1,1,1,0.33,0.67,0.08,0.08,0.23,0.15,0.08,0.38,0.38,5
1,1,1,1,0.5,0.5,0,0.09,0.27,0.18,0,0.45,0.55,3
1,0,1,1,0.33,0.67,0.2,0.2,0.2,0,0.2,0.2,0,2
1,0,1,1,0.33,0.67,0.27,0.27,0.09,0.18,0.09,0.09,0,5
1,1,1,0,0.5,0.5,0.13,0.13,0.13,0,0.13,0.38,0.25,3
1,1,0,0,0.5,0.5,0.14,0.14,0,0,0,0.71,0.14,3
1,0,0,0,1,0,0.4,0.3,0,0,0.1,0.2,0.3,5
1,1,1,0,0.5,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0,2
1,0,0,0,1,0,0.13,0.13,0,0,0,0.75,0.5,3
1,1,0,0,0.33,0.67,0.08,0.08,0,0,0,0.83,0.25,2
1,0,1,0,0.5,0.5,0.08,0.08,0.33,0,0.08,0.42,0,3
1,0,0,0,0.5,0.5,0.05,0.23,0,0,0,0.73,0.41,6
1,0,0,0,0.5,0.5,0.04,0.22,0,0,0,0.74,0.39,6
1,0,0,0,1,0,0.43,0.14,0,0,0,0.43,0.29,4
1,1,1,0,0.5,0.5,0.14,0.08,0.17,0.29,0.14,0.29,0.07,5
1,0,1,0,0.5,0.5,0.22,0.11,0.11,0.11,0.22,0.33,0.33,5
1,1,1,1,0.5,0.5,0,0.07,0.21,0.07,0,0.64,0.36,5
1,1,1,1,0.67,0.33,0.2,0.07,0.07,0,0,0.67,0.13,3
1,0,1,1,0.5,0.5,0.06,0.06,0.06,0.18,0.18,0.47,0.35,21
1,0,0,0,1,0,0.4,0.2,0,0,0,0.4,0,3
1,0,1,0,0.33,0.67,0.18,0.06,0,0.18,0.06,0.53,0.41,4
1,1,0,1,0.33,0.67,0.43,0.14,0.14,0,0,0.29,0.43,3
1,0,1,1,0.5,0.5,0.11,0.11,0.33,0.11,0,0.33,0.33,4
1,0,0,1,0.5,0.5,0.42,0.33,0,0,0.08,0.17,0.33,7
1,0,1,0,0.5,0.5,0.63,0.13,0,0,0.13,0.13,0,4
1,0,0,1,0.25,0.75,0.2,0.24,0,0,0.04,0.56,0.36,5
1,0,1,0,0.5,0.5,0.33,0.17,0.17,0,0.17,0.17,0,2
1,1,1,1,0.5,0.5,0.1,0.1,0.3,0.1,0,0.4,0.5,9
1,0,1,1,0.5,0.5,0,0.14,0.14,0.29,0,0.43,0.29,2
1,1,1,0,0.33,0.67,0.13,0.06,0.06,0,0.06,0.65,0.5,4
1,1,1,0,0.5,0.5,0.2,0.2,0.3,0.1,0.1,0.2,0.2,4
1,0,1,0,0.5,0.5,0.33,0.17,0,0,0,0.5,0.33,1
