aliens,1
angelsdemons,0
assemblyline,0
avoidgeorge,2
bait,3
blacksmoke,2
boloadventures,0
bomber,1
boulderchase,2
boulderdash,2
brainman,4
butterflies,3
cakybaky,3
camelRace,3
catapults,5
chainreaction,0
chase,2
chipschallenge,6
clusters,0
colourescape,5
chopper,2
cookmepasta,0
cops,4
crossfire,3
defem,0
defender,4
digdug,4
dungeon,3
eggomania,4
enemycitadel,0
escape,5
factorymanager,4
firecaster,5
fireman,0
firestorms,5
freeway,3
frogs,3
gymkhana,0
hungrybirds,4
iceandfire,4
infection,4
intersection,3
islands,5
jaws,2
labyrinth,4
labyrinthdual,4
lasers,0
lasers2,0
lemmings,3
missilecommand,3
modality,4
overload,4
pacman,0
painter,1
plants,0
plaqueattack,5
portals,2
racebet,4
raceBet2,2
realportals,0
realsokoban,3
rivers,0
roguelike,4
run,6
seaquest,5
sheriff,1
shipwreck,5
sokoban,3
solarfox,0
superman,6
surround,4
survivezombies,1
tercio,4
thecitadel,4
thesnowman,0
waitforbreakfast,3
watergame,4
waves,2
whackamole,2
witnessprotection,2
zelda,3
zenpuzzle,2
