aliens,7
angelsdemons,0
assemblyline,0
avoidgeorge,7
bait,6
blacksmoke,4
boloadventures,0
bomber,2
boulderchase,4
boulderdash,4
brainman,6
butterflies,6
cakybaky,6
camelRace,1
catapults,1
chainreaction,0
chase,6
chipschallenge,6
clusters,0
colourescape,1
chopper,2
cookmepasta,0
cops,6
crossfire,1
defem,0
defender,7
digdug,2
dungeon,3
eggomania,7
enemycitadel,0
escape,1
factorymanager,2
firecaster,3
fireman,0
firestorms,3
freeway,5
frogs,6
gymkhana,0
hungrybirds,3
iceandfire,1
infection,2
intersection,5
islands,2
jaws,2
labyrinth,1
labyrinthdual,1
lasers,0
lasers2,0
lemmings,2
missilecommand,7
modality,1
overload,7
pacman,0
painter,6
plants,0
plaqueattack,2
portals,1
racebet,1
raceBet2,1
realportals,0
realsokoban,6
rivers,0
roguelike,3
run,4
seaquest,2
sheriff,7
shipwreck,1
sokoban,6
solarfox,0
superman,1
surround,7
survivezombies,5
tercio,6
thecitadel,6
thesnowman,0
waitforbreakfast,1
watergame,1
waves,4
whackamole,1
witnessprotection,2
zelda,2
zenpuzzle,6
